import time: self [us] | cumulative | imported package
import time:       987 |        987 |                               pandas._libs.join
import time:       439 |        439 |                               pandas.core.array_algos.putmask
import time:       607 |        607 |                               pandas.core.indexes.frozen
import time:      1796 |       1796 |                               pandas.core.strings.accessor
import time:      3725 |       9855 |                             pandas.core.indexes.base
import time:       468 |        468 |                               pandas.core.indexes.extension
import time:       912 |       1380 |                             pandas.core.indexes.category
import time:       837 |        837 |                                 pandas.core.indexes.range
import time:       439 |        439 |                                   pandas.core.tools
import time:       559 |        998 |                                 pandas.core.tools.timedeltas
import time:      2032 |       3867 |                               pandas.core.indexes.datetimelike
import time:       353 |        353 |                               pandas.core.tools.times
import time:      1397 |       5616 |                             pandas.core.indexes.datetimes
import time:      1220 |       1220 |                               pandas.core.indexes.multi
import time:       608 |        608 |                               pandas.core.indexes.timedeltas
import time:      2024 |       3851 |                             pandas.core.indexes.interval
import time:       713 |        713 |                             pandas.core.indexes.period
import time:      2699 |      24470 |                           pandas.core.indexes.api
import time:      1503 |      26566 |                         pandas.core.indexing
import time:       338 |        338 |                         pandas.core.sample
import time:       311 |        311 |                         pandas.core.array_algos.replace
import time:       895 |        895 |                             pandas.core.internals.blocks
import time:      1046 |       1940 |                           pandas.core.internals.api
import time:       604 |        604 |                             pandas.core.internals.base
import time:       528 |        528 |                               pandas.core.internals.ops
import time:       966 |       1494 |                             pandas.core.internals.managers
import time:      1406 |       3502 |                           pandas.core.internals.array_manager
import time:       423 |        423 |                           pandas.core.internals.concat
import time:      1025 |       6890 |                         pandas.core.internals
import time:       568 |        568 |                         pandas.core.internals.construction
import time:       404 |        404 |                           pandas.core.methods
import time:       504 |        504 |                             pandas.core.reshape
import time:       559 |       1063 |                           pandas.core.reshape.concat
import time:       851 |        851 |                               dataclasses
import time:       824 |        824 |                               gzip
import time:        77 |         77 |                               mmap
import time:       205 |        205 |                                 pwd
import time:       237 |        237 |                                 grp
import time:      1961 |       2403 |                               tarfile
import time:       338 |        338 |                               pandas.core.shared_docs
import time:      3717 |       8208 |                             pandas.io.common
import time:      1424 |       9631 |                           pandas.io.formats.format
import time:      1584 |      12681 |                         pandas.core.methods.describe
import time:       521 |        521 |                               pandas._libs.window
import time:       902 |       1422 |                             pandas._libs.window.aggregations
import time:       542 |        542 |                               pandas._libs.window.indexers
import time:       586 |       1128 |                             pandas.core.indexers.objects
import time:       354 |        354 |                             pandas.core.util.numba_
import time:       330 |        330 |                             pandas.core.window.common
import time:       414 |        414 |                             pandas.core.window.doc
import time:       543 |        543 |                             pandas.core.window.numba_
import time:       407 |        407 |                             pandas.core.window.online
import time:      3255 |       3255 |                             pandas.core.window.rolling
import time:      2375 |      10225 |                           pandas.core.window.ewm
import time:      1698 |       1698 |                           pandas.core.window.expanding
import time:      1045 |      12967 |                         pandas.core.window
import time:      6701 |      71033 |                       pandas.core.generic
import time:       649 |        649 |                       pandas.core.methods.selectn
import time:       373 |        373 |                         pandas.core.reshape.util
import time:       380 |        380 |                         pandas.core.tools.numeric
import time:       900 |       1652 |                       pandas.core.reshape.melt
import time:       792 |        792 |                         pandas._libs.reshape
import time:       941 |        941 |                         pandas.core.indexes.accessors
import time:       341 |        341 |                           pandas.arrays
import time:       917 |       1258 |                         pandas.core.tools.datetimes
import time:       883 |        883 |                         pandas.io.formats.info
import time:      1196 |       1196 |                           pandas.plotting._core
import time:       573 |        573 |                           pandas.plotting._misc
import time:      1004 |       2771 |                         pandas.plotting
import time:      4053 |      10695 |                       pandas.core.series
import time:      9260 |      93288 |                     pandas.core.frame
import time:      1243 |       1243 |                     pandas.core.groupby.base
import time:      1279 |       1279 |                       pandas._libs.groupby
import time:       485 |        485 |                         pandas.core.groupby.categorical
import time:      1015 |       1499 |                       pandas.core.groupby.grouper
import time:       872 |       3649 |                     pandas.core.groupby.ops
import time:       373 |        373 |                       pandas.core.groupby.numba_
import time:       440 |        440 |                       pandas.core.groupby.indexing
import time:      2386 |       3198 |                     pandas.core.groupby.groupby
import time:      5527 |     109354 |                   pandas.core.groupby.generic
import time:       827 |     110181 |                 pandas.core.groupby
import time:      2018 |     233051 |               pandas.core.api
import time:       396 |        396 |               pandas.tseries.api
import time:       286 |        286 |                       pandas.core.computation.common
import time:       505 |        790 |                     pandas.core.computation.align
import time:       739 |        739 |                         pprint
import time:       794 |       1533 |                       pandas.core.computation.scope
import time:      1019 |       2552 |                     pandas.core.computation.ops
import time:       647 |       3988 |                   pandas.core.computation.engines
import time:       496 |        496 |                     pandas.core.computation.parsing
import time:      1179 |       1674 |                   pandas.core.computation.expr
import time:       750 |       6412 |                 pandas.core.computation.eval
import time:       503 |       6914 |               pandas.core.computation.api
import time:       375 |        375 |                 pandas.core.reshape.encoding
import time:       638 |        638 |                     _uuid
import time:       705 |       1343 |                   uuid
import time:      1172 |       2515 |                 pandas.core.reshape.merge
import time:      2064 |       2064 |                 pandas.core.reshape.pivot
import time:       456 |        456 |                 pandas.core.reshape.tile
import time:      1477 |       6886 |               pandas.core.reshape.api
import time:       532 |        532 |                 pandas.api.extensions
import time:       361 |        361 |                 pandas.api.indexers
import time:       303 |        303 |                     pandas.core.interchange
